fen|mv|mv_score|bmv|bmv_score|difs
r1bqkb1r/pppp2pp/2n5/5p2/4n3/4Q3/PPP2PPP/RNB1KBNR w KQkq - 0 7|f7f5|294|d7d5|576|282
r1b1kb1r/pppp2pp/2n5/5p2/4n2q/4QP2/PPP3PP/RNB1KBNR w KQkq - 1 8|d8h4|-229|f8c5|636|865
r1b1kb1r/ppppq1pp/2n5/5p2/4n3/4QPP1/PPP4P/RNB1KBNR w KQkq - 1 9|h4e7|-299|f8b4|-224|75
r1b1kb1r/ppppq1pp/2n5/8/4p3/4Q1P1/PPP4P/RNB1KBNR w KQkq - 0 10|f5e4|-303|b7b6|-258|45
r1b1kb1r/ppp1q1pp/2n5/3p4/4p3/2N1Q1P1/PPP4P/R1B1KBNR w KQkq - 0 11|d7d5|-365|b7b6|-309|56
r1b1kb1r/ppp3pp/2n5/3Nq3/4p3/4Q1P1/PPP4P/R1B1KBNR w KQkq - 1 12|e7e5|-377|e7e5|-371|6
rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1|e2e4|39|g1f3|2|-37
rnbqkbnr/pppp1ppp/8/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R b KQkq - 1 2|g1f3|38|g1f3|0|-38
rnbqkbnr/ppp2ppp/3p4/4p3/2B1P3/5N2/PPPP1PPP/RNBQK2R b KQkq - 1 3|f1c4|-5|d2d4|1|6
rnbqkbnr/ppp2pp1/3p3p/4p3/2B1P3/2N2N2/PPPP1PPP/R1BQK2R b KQkq - 1 4|b1c3|25|d2d4|58|33
rnbqkbnr/pp3pp1/2pp3p/4p3/2B1P3/2NP1N2/PPP2PPP/R1BQK2R b KQkq - 0 5|d2d3|21|d2d4|90|69
rn1qkbnr/pp3pp1/2pp3p/4p3/2B1P1b1/2NPBN2/PPP2PPP/R2QK2R b KQkq - 2 6|c1e3|47|h2h3|56|9
